areaName,value_float
"St. George, UT",100780.0
Upper Savannah South Carolina nonmetropolitan area,100910.0
"Memphis, TN-MS-AR",101120.0
"Jacksonville, FL",101190.0
"Tampa-St. Petersburg-Clearwater, FL",101600.0
"Greensboro-High Point, NC",101720.0
"Oshkosh-Neenah, WI",101730.0
"Cincinnati, OH-KY-IN",101750.0
"Amarillo, TX",101880.0
"Riverside-San Bernardino-Ontario, CA",102180.0
Northwest Colorado nonmetropolitan area,102220.0
"Fargo, ND-MN",102480.0
"Eau Claire, WI",102770.0
"Wausau, WI",102940.0
"Asheville, NC",103220.0
"Medford, OR",103440.0
"Barnstable Town, MA",103600.0
"Modesto, CA",103760.0
"Boise City, ID",104000.0
"Madison, WI",104140.0
"Greenville, NC",104560.0
"Atlanta-Sandy Springs-Roswell, GA",104640.0
"Rockford, IL",104940.0
"Virginia Beach-Norfolk-Newport News, VA-NC",105280.0
"Milwaukee-Waukesha-West Allis, WI",105610.0
"Olympia-Tumwater, WA",105930.0
"Des Moines-West Des Moines, IA",106210.0
"San Antonio-New Braunfels, TX",106250.0
"Huntsville, AL",106270.0
"Fayetteville, NC",106490.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",106760.0
"California-Lexington Park, MD",107260.0
"Portland-South Portland, ME",107490.0
"Chicago-Naperville-Elgin, IL-IN-WI",108580.0
"Corvallis, OR",108730.0
"Dallas-Fort Worth-Arlington, TX",108870.0
"Greeley, CO",108920.0
"Phoenix-Mesa-Scottsdale, AZ",109500.0
"Akron, OH",110230.0
"Salem, OR",110390.0
"Grand Junction, CO",111360.0
"Denver-Aurora-Lakewood, CO",111750.0
"Austin-Round Rock, TX",111760.0
"Hartford-West Hartford-East Hartford, CT",112750.0
"Santa Rosa, CA",112770.0
"Colorado Springs, CO",112820.0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",112840.0
"Bremerton-Silverdale, WA",113190.0
"Wilmington, NC",113320.0
"Fort Collins, CO",113830.0
"Minneapolis-St. Paul-Bloomington, MN-WI",114560.0
"Kingsport-Bristol-Bristol, TN-VA",115440.0
"Richmond, VA",115800.0
"Spokane-Spokane Valley, WA",116770.0
"Charlottesville, VA",117410.0
"Winston-Salem, NC",117450.0
"Burlington-South Burlington, VT",117650.0
"New Bedford, MA",118060.0
"Bismarck, ND",118610.0
Central Kentucky nonmetropolitan area,121700.0
"Boston-Cambridge-Nashua, MA-NH",122020.0
"Norwich-New London-Westerly, CT-RI",123340.0
"Urban Honolulu, HI",124420.0
"Los Angeles-Long Beach-Anaheim, CA",124810.0
"Boulder, CO",125520.0
"Pittsfield, MA",125860.0
"Baltimore-Columbia-Towson, MD",126430.0
"Portland-Vancouver-Hillsboro, OR-WA",126450.0
"Dover, DE",126460.0
"Raleigh, NC",126950.0
"Oxnard-Thousand Oaks-Ventura, CA",127300.0
"San Diego-Carlsbad, CA",127300.0
"Durham-Chapel Hill, NC",127310.0
"Providence-Warwick, RI-MA",127820.0
"Duluth, MN-WI",128350.0
"Santa Maria-Santa Barbara, CA",128620.0
"Santa Cruz-Watsonville, CA",129010.0
"Charlotte-Concord-Gastonia, NC-SC",133220.0
"New York-Newark-Jersey City, NY-NJ-PA",133560.0
"Trenton, NJ",133960.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",135080.0
"Seattle-Tacoma-Bellevue, WA",135610.0
"Bridgeport-Stamford-Norwalk, CT",137420.0
"San Francisco-Oakland-Hayward, CA",163430.0
"San Jose-Sunnyvale-Santa Clara, CA",171800.0
"Idaho Falls, ID",
"Kennewick-Richland, WA",
